site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,background-image,6,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,border,2,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,border-radius,2,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,max-width,1,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,padding,4,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,margin,8,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,gap,3,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,transform,5,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,0,hero-section,display-flex,3,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,background-image,29,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,background-color,25,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,box-shadow,8,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,border,14,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,border-radius,39,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,max-width,2,no
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,padding,24,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,margin,40,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,gap,26,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,transform,13,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,position-absolute,1,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,display-flex,36,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,1,bento-section,display-grid,1,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,background-image,1,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,background-color,3,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,border,3,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,border-radius,4,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,padding,6,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,margin,6,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,gap,6,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,transform,1,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,position-absolute,1,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,display-flex,5,yes
https://openhero.art/api/preview?category=abstract&slug=accelerated-transition-to-sustainable-energy,home,2,velocity-section,display-grid,1,yes
