site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,background-image,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,background-color,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,backdrop-filter,1,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,border,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,border-radius,1,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,max-width,3,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,padding,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,margin,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,gap,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,transform,3,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,position-absolute,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,0,relative h-screen w-full flex items-center justify-center overflow-hidden px-6,display-flex,3,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,background-image,4,no
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,background-color,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,backdrop-filter,1,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,border,6,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,border-radius,7,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,max-width,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,padding,6,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,margin,7,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,gap,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,transform,4,no
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,position-absolute,1,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,display-flex,5,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,1,py-32 px-6 container mx-auto max-w-7xl,display-grid,1,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,background-color,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,backdrop-filter,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,border-radius,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,padding,2,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,transform,4,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,position-absolute,3,yes
https://openhero.art/api/preview?category=abstract&slug=adaptive-high-fidelity-architecture,home,2,py-64 relative overflow-hidden,display-flex,1,yes
