site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"text-5xl md:text-7xl lg:text-8xl font-bold tracking-tight mb-6 text-white filter [filter:drop-shadow(0_0_15px_rgba(0,0,0,0.5))_drop-shadow(0_0_30px_rgba(0,0,0,0.4))]",Breathe life into your worlds.
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,900,no,no,,button,button,button,no,no,button → button,a,"group relative inline-flex items-center justify-center gap-2 px-8 py-4 bg-brand text-white rounded-full font-semibold text-lg hover:bg-brand-light hover:text-slate-900 transition-all duration-300 shadow-[0_0_30px_-5px_rgba(34,197,94,0.5)]",Create Your Scene
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,900,no,no,,text,text,text_block,no,no,text → text_block,p,text-xs font-semibold tracking-widest text-slate-300 uppercase mb-8 drop-shadow-md,Trusted by visual creators at
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,decomposed,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,900,no,no,,text,text,text_block,no,no,text → text_block,div,flex flex-wrap justify-center items-center gap-8 md:gap-16 opacity-70 grayscale hover:grayscale-0 transition-all duration-500 text-white,Unreal Engine Unity Blender Wacom Adobe
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,decomposed,py-32 px-6 relative bg-[#020617],746,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-3xl md:text-5xl font-bold mb-6,Forge your narrative
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,decomposed,py-32 px-6 relative bg-[#020617],746,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,"Cinematic Atmosphere Simulate volumetric lighting, god rays, and atmospheric scattering to"
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,decomposed,py-32 px-6 relative bg-[#020617],746,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,"Dynamic Physics Control the flow of the wind, falling leaves, rushing water, and floating "
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,decomposed,py-32 px-6 relative bg-[#020617],746,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,"Epic Scale Generation Instantly populate endless mountain ranges, dense bamboo forests, an"
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,decomposed,py-32 px-6 relative bg-[#020617],746,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,decomposed,py-32 px-6 relative bg-[#020617],746,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,2,decomposed,py-24 px-6 bg-slate-900 border-t border-slate-800 relative overflow-hidden,953,no,yes,"borderTop=1px solid rgb(30, 41, 59)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Discovered Worlds Explore breathtaking realms forged by our community. View all landscapes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,2,decomposed,py-24 px-6 bg-slate-900 border-t border-slate-800 relative overflow-hidden,953,no,yes,"borderTop=1px solid rgb(30, 41, 59)",row-cell,image-composite,code_block,yes,no,image + content overlay → verbatim in a positioned wrapper (overlays anchor to the image),,,"""Hidden Valley Shrine..."" Morning Dew ""Sunlight piercing through a dense ancient forest..."
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,3,decomposed,py-32 px-6 border-t border-slate-800 bg-[#020617] relative,857,no,yes,"borderTop=1px solid rgb(30, 41, 59)",heading,heading,special_heading,no,no,heading → special_heading,h2,text-3xl md:text-5xl font-bold mb-6,Equip your arsenal
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,3,decomposed,py-32 px-6 border-t border-slate-800 bg-[#020617] relative,857,no,yes,"borderTop=1px solid rgb(30, 41, 59)",pricing,pricing,pricing_table,no,no,pricing → code_block (unmapped),,,
