site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,background-image,1,no
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,background-color,1,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,box-shadow,1,no
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,border,1,no
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,border-radius,1,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,padding,4,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,margin,5,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,gap,7,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden ,display-flex,10,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,py-32 px-6 relative bg-[#020617],background-image,1,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,py-32 px-6 relative bg-[#020617],background-color,9,yes
https://openhero.art/api/preview?category=tech&slug=anime-environment-engine,home,1,py-32 px-6 relative bg-[#020617],backdrop-filter,3,yes
