site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,background-image,2,no
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,background-color,1,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,border,2,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,border-radius,2,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,padding,4,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,margin,9,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,gap,3,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,transform,5,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,0,hero-section,display-flex,4,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,background-image,3,no
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,background-color,14,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,box-shadow,7,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,border,3,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,border-radius,12,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,padding,6,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,margin,21,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,gap,9,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,transform,6,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,display-flex,10,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,1,anodized-section,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=apple-card-titanium-and-intelligence,home,2,assembly-section,background-color,11,yes
