site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],background-image,2,no
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],border,1,no
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],padding,1,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],margin,1,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,0,relative z-10 w-full max-w-6xl mx-auto px-6 flex flex-col items-center justify-center min-h-[70vh],display-flex,3,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,background-image,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,background-color,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,backdrop-filter,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,box-shadow,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,border,3,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,border-radius,3,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,max-width,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,padding,3,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,margin,4,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,gap,1,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,transform,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,position-absolute,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,display-flex,2,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,1,relative z-10 w-full max-w-6xl mx-auto px-6 mt-32 grid grid-cols-1 lg:grid-cols-12 gap-8,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,background-color,6,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,box-shadow,3,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,border,6,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,border-radius,6,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,max-width,1,yes
https://openhero.art/api/preview?category=tech&slug=apple-vision-pro,home,2,relative z-10 w-full max-w-6xl mx-auto px-6 mt-16,padding,4,yes
