site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,background-image,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,background-color,5,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,backdrop-filter,3,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,box-shadow,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,border,4,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,border-radius,2,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,padding,5,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,margin,3,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,gap,2,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,transform,6,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,position-absolute,2,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,0,hero,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,background-image,4,no
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,background-color,4,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,backdrop-filter,2,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,box-shadow,2,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,border,3,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,border-radius,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,padding,7,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,margin,5,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,transform,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,display-flex,3,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,1,panel-space,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,background-image,6,no
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,box-shadow,6,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,border,6,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,max-width,7,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,padding,7,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,margin,15,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,gap,2,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,transform,7,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,position-absolute,6,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,2,accessory,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,botanical,background-image,3,no
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,botanical,backdrop-filter,2,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,botanical,box-shadow,3,yes
https://openhero.art/api/preview?category=enterprice&slug=bespoke-living-spaces,home,3,botanical,border,2,yes
