site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,background-image,1,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,background-color,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,backdrop-filter,1,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,box-shadow,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,border,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,border-radius,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,padding,4,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,margin,4,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,transform,20,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,position-absolute,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,hero-wrapper,display-flex,5,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,background-color,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,box-shadow,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,border,1,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,border-radius,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,margin,7,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,gap,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,transform,3,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,position-absolute,1,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,py-32 bg-[var(--sun-linen)] overflow-hidden,display-grid,2,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,background-color,7,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,border-radius,6,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,max-width,4,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,padding,5,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,margin,11,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,transform,3,yes
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,py-32 bg-white,display-grid,1,yes
