site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,background-image,12,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,background-color,12,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,backdrop-filter,8,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,box-shadow,15,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,border,15,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,border-radius,23,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,padding,21,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,margin,18,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,gap,7,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,transform,3,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,position-absolute,8,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,display-flex,10,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,0,relative mt-6 overflow-hidden rounded-[36px] soft-edge p-4 sm:p-6 lg:p-8,display-grid,5,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],background-image,7,no
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],background-color,1,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],backdrop-filter,4,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],box-shadow,7,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],border,4,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],border-radius,8,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],padding,8,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],margin,12,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],gap,6,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=build-products-that-move-money,home,1,mt-6 grid gap-6 lg:grid-cols-[0.95fr_1.05fr],display-grid,4,yes
