site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,verbatim,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,Boundless Freedom. Stand atop the world where the wind speaks in whispers and the horizons
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,493,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,font-cinzel text-4xl sm:text-5xl font-bold uppercase tracking-tight leading-tight text-white mb-6,Where the soul aligns with the summit.
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,493,no,no,,text,text,text_block,no,no,text → text_block,p,font-jakarta text-white/50 text-lg leading-relaxed font-light mb-8,"Inspired by cinematic vistas and untamed ridge-lines, we design experiences and premium te"
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,493,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,01 Vibrant Skies
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,493,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,02 Wind Forged
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,493,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,03 Eternal Reach
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,decomposed,py-32 px-6 md:px-12 bg-sky-950/20 relative,906,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Curated Odysseys Select Realms
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,decomposed,py-32 px-6 md:px-12 bg-sky-950/20 relative,906,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Hand-picked destinations crafted for visionaries who seek absolute isolation and unmatched
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,decomposed,py-32 px-6 md:px-12 bg-sky-950/20 relative,906,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Active Trek Emerald Ridges High contrast mountain slopes meeting cloud banks at breakneck 
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,decomposed,py-32 px-6 md:px-12 bg-sky-950/20 relative,906,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,High Altitude Azure Basins Crystalline water bodies reflecting intense skies deep within m
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,decomposed,py-32 px-6 md:px-12 bg-sky-950/20 relative,906,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Serene Valley Whispering Groves Lush foliage dancing wildly under intense golden rays and 
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,3,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto,704,no,no,,row-cell,grid,code_block,yes,no,nested grid → code_block (not yet split into nested columns),,,AeroShell Deflects storms while enabling total internal thermal breathing cycles. Kevlar-W
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,3,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto,704,no,no,,row-cell,blocks,special_heading,no,no,content column → decomposed shortcodes,,,Tactical Artifacts Engineered for the untamed skies. Our equipment merges traditional silh
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,4,verbatim,py-32 px-6 md:px-12 bg-gradient-to-b from-transparent to-sky-950/40,996,no,yes,"gradient=linear-gradient(rgba(0, 0, 0, 0), rgba(7, 17, 30, 0.4))",verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,py-32 px-6 md:px-12 bg-gradient-to-b from-transparent to-sky-950/40,Visual Captures Cinematic Wall A glimpse through the lens of travelers who braved the alti
