site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,background-image,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,background-color,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,border,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,border-radius,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,margin,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,gap,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,display-flex,7,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,0,relative min-h-screen flex items-center justify-center overflow-hidden asymmetric-clip,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,background-image,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,padding,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,margin,8,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,transform,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto grid lg:grid-cols-12 gap-12 items-center,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,background-color,7,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,backdrop-filter,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,border,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,border-radius,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,max-width,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,padding,7,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,margin,9,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,gap,5,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,position-absolute,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,display-flex,10,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,2,py-32 px-6 md:px-12 bg-sky-950/20 relative,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,3,py-32 px-6 md:px-12 max-w-7xl mx-auto,background-image,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,3,py-32 px-6 md:px-12 max-w-7xl mx-auto,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-horizons,home,3,py-32 px-6 md:px-12 max-w-7xl mx-auto,backdrop-filter,4,yes
