site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,background-color,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,border,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,border-radius,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,0,min-h-screen flex items-center justify-start px-6 max-w-7xl mx-auto pt-20,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,background-color,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,backdrop-filter,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,border,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,border-radius,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,margin,9,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,1,py-32 px-6 max-w-7xl mx-auto,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,background-color,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,border,8,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,border-radius,6,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,padding,9,yes
https://openhero.art/api/preview?category=nature&slug=cinematic-nature-horizon,home,2,py-20 bg-skyline/30 border-y border-white/5 relative overflow-hidden,margin,11,yes
