site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,background-color,3,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,backdrop-filter,2,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,border,1,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,transform,5,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,0,relative h-screen overflow-hidden,display-flex,2,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,background-image,1,no
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,box-shadow,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,1,ascend-light relative overflow-hidden px-8 py-36,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,background-image,1,no
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,box-shadow,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,margin,7,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=cloud-forest-sanctuaries,home,2,ascend-mid relative overflow-hidden px-8 py-40,position-absolute,4,yes
