site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,background-image,4,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,border-radius,2,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,gap,4,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,transform,3,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,position-absolute,3,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,display-flex,4,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,0,relative min-h-[100svh] flex flex-col items-start justify-center overflow-hidden,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,background-color,6,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,box-shadow,4,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,border,5,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,border-radius,7,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,padding,7,yes
https://openhero.art/api/preview?category=nature&slug=contemplative-realms,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,margin,11,yes
