site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,verbatim,relative w-full h-screen flex items-center justify-center overflow-hidden,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative w-full h-screen flex items-center justify-center overflow-hidden,Leave the map. Follow the sky. A solitary escape vehicle parked beneath a billion systems.
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,decomposed,py-32 px-6 bg-cosmic-void relative overflow-hidden,882,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,decomposed,py-32 px-6 bg-cosmic-void relative overflow-hidden,882,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,01 // Core Ideal The luxury of complete disconnection. True wealth isn't accumulation; it'
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,decomposed,py-32 px-6 bg-cosmic-void relative overflow-hidden,882,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Zero Light Leakage Guaranteed placement in protected dark sky reserves. Experience the raw
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,2,decomposed,py-32 bg-cosmic-nebula/30 border-t border-b border-white/5 relative,906,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",steps,steps,steps,no,no,steps → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,926,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,03 // Chosen Latitude Stellar Coordinates
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,926,no,no,,row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,926,no,no,,row-cell,blocks,media_image,no,no,content column → decomposed shortcodes,,,"Station Alpha 22.9087° S, 67.7876° W Atacama Highlands Absolute dry atmosphere with near-z"
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,926,no,no,,row-cell,blocks,media_image,no,no,content column → decomposed shortcodes,,,"Station Beta 64.1265° N, 21.8174° W Icelandic Outwash Positioned directly under the primar"
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,3,decomposed,py-32 px-6 max-w-7xl mx-auto,926,no,no,,row-cell,blocks,media_image,no,no,content column → decomposed shortcodes,,,"Station Gamma 36.9980° N, 109.0452° W High Plateau Basin Massive geological horizontal bou"
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,4,decomposed,py-32 bg-cosmic-void relative overflow-hidden border-t border-white/5,687,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",steps,steps,steps,no,no,steps → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,5,decomposed,py-36 px-6 relative overflow-hidden border-t border-white/5,721,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,5,decomposed,py-36 px-6 relative overflow-hidden border-t border-white/5,721,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,5,decomposed,py-36 px-6 relative overflow-hidden border-t border-white/5,721,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",heading,heading,special_heading,no,no,heading → special_heading,h2,font-serif text-4xl md:text-7xl font-light text-white leading-tight,Align your trajectory. Secure isolation.
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,5,decomposed,py-36 px-6 relative overflow-hidden border-t border-white/5,721,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05)",newsletter,newsletter,newsletter,no,no,form → newsletter,,,
