site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,background-image,2,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,gap,5,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,display-flex,6,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,background-image,4,no
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,background-color,7,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,border,8,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,border-radius,5,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,margin,13,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,position-absolute,1,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,display-flex,8,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,1,py-32 px-6 bg-cosmic-void relative overflow-hidden,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,2,py-32 bg-cosmic-nebula/30 border-t border-b border-white/5 relative,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=cosmic-nomadic-journeys,home,2,py-32 bg-cosmic-nebula/30 border-t border-b border-white/5 relative,background-color,3,yes
