site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,verbatim,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,765,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,"The new generation of shippers in LATAM. A community of engineers, designers, and builders"
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",heading,heading,special_heading,no,no,heading → special_heading,h2,mt-4 text-4xl font-semibold tracking-[-0.06em] text-white md:text-5xl,It was born from a group of friends who wanted to build things in public and tell the worl
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Product Development We ship to learn We build products to accelerate and inspire LATAM.
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Events Code Brews, hackathons, and meetups Spaces to connect shippers, ideas, and collabor"
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Community We promote the art of shipping We teach, share, and make the process visible."
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Diverse team More than code Engineers, designers, anthropologists, and statisticians findi"
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Open calendars Mentorship and conversations Schedule a call for career advice, mentorship,"
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,LATAM Born in Peru Growing across Latin America with a shared vision.
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,decomposed,mt-16 border-t border-white/10 pt-10,646,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",button,button,button,no,no,button → button,button,sheen rounded-md border border-white/12 bg-white/[0.03] px-5 py-3 text-sm text-white transition duration-300 hover:bg-white/[0.06],Meet the team →
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,2,decomposed,mt-16 border-t border-white/10 pt-10,171,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,500+ Community members
