site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,background-image,5,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,background-color,1,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,backdrop-filter,4,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,box-shadow,4,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,border,7,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,border-radius,6,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,padding,5,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,margin,6,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,gap,3,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,transform,4,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,position-absolute,4,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,0,grid gap-10 lg:grid-cols-[1.06fr_.94fr] lg:items-center,display-grid,2,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,background-image,6,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,background-color,1,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,backdrop-filter,6,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,box-shadow,6,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,border,8,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,border-radius,7,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,padding,8,yes
https://openhero.art/api/preview?category=enterprice&slug=crafter-station,home,1,mt-16 border-t border-white/10 pt-10,margin,16,yes
