kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3998px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~3998px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#43,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#46,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#48,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#51,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.hero-title,infinite keyframes 'breath' (transform),physics float/pulse or backgrounds module,low
css-animation,.manifesto .cursor,infinite keyframes 'blink' (opacity),physics float/pulse or backgrounds module,low
hover,.lantern-core,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.project,"transform, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'lift'},medium
hover,.links a,"background-image, background-position-x, background-position-y, background-size change on hover",interaction: {effect:'color_shift'},medium
