site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,background-image,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,background-color,5,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,backdrop-filter,1,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,box-shadow,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,border,5,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,border-radius,7,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,padding,9,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,margin,4,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,gap,3,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,transform,6,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,0,hero,display-flex,3,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,background-image,1,no
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,background-color,9,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,box-shadow,1,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,border,6,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,border-radius,8,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,max-width,1,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,padding,7,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,margin,12,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,gap,5,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,transform,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,display-flex,4,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,1,section,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,background-image,13,no
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,box-shadow,6,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,border,6,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,border-radius,6,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,max-width,7,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,padding,7,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,margin,15,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,gap,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,transform,13,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,position-absolute,6,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,display-flex,7,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,2,projects,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,background-image,2,no
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,backdrop-filter,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,box-shadow,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,border,4,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,border-radius,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,max-width,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,padding,5,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,margin,8,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,gap,2,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,transform,3,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,display-flex,4,yes
https://openhero.art/api/preview?category=tech&slug=crafting-the-nocturnal-web,home,3,section,display-grid,1,yes
