site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,background-image,2,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,background-color,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,backdrop-filter,2,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,box-shadow,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,border,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,border-radius,2,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,max-width,2,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,padding,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,margin,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,gap,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,transform,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,position-absolute,2,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,0,relative h-screen w-screen overflow-hidden flex items-center justify-center,display-flex,2,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,background-color,10,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,box-shadow,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,border,6,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,border-radius,9,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,max-width,2,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,padding,7,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,margin,5,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,gap,5,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,transform,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,display-flex,8,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,1,relative py-60 px-6 md:px-24 flex flex-col items-center min-h-screen,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,background-color,10,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,border,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,border-radius,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,max-width,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,padding,4,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,margin,13,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,gap,4,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,transform,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,position-absolute,4,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,display-flex,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,2,py-60 px-6 relative,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,background-image,1,no
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,border,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,max-width,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,margin,6,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,gap,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=creative-engineering,home,3,py-60 relative overflow-hidden,display-grid,1,yes
