site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,decomposed,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,decomposed,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,decomposed,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,decomposed,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"font-serif text-[clamp(4rem,12vw,10rem)] leading-[0.85] font-bold italic text-white mb-8 reveal-node drop-shadow-[0_0_15px_rgba(0,0,0,0.9)] drop-shadow-[0_0_5px_rgba(0,0,0,0.9)] visible",Universes in Glass.
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,decomposed,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,btn-amber px-10 py-5 rounded-full font-sans text-xs uppercase tracking-[0.2em] font-bold text-white w-full sm:w-auto,Explore Gallery
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,decomposed,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,px-10 py-5 rounded-full font-sans text-xs uppercase tracking-[0.2em] font-bold text-white/60 hover:text-white transition-colors flex items-center justify-center gap-3 w-full sm:w-auto,The Process
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,decomposed,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,900,no,no,,text,text,text_block,no,no,text → text_block,span,font-sans text-[9px] uppercase tracking-[0.4em] text-amber-glow,Dive In
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,decomposed,relative py-32 px-6 lg:px-12 bg-obsidian,777,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Anatomy of a World Life breathing in the void . Each terrarium is a self-sustaining biome.
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,decomposed,relative py-32 px-6 lg:px-12 bg-obsidian,777,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,"Perpetual Flora Meticulous selection of flora that thrives in closed environments, creatin"
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,decomposed,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,1107,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,decomposed,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,1107,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,font-serif text-5xl md:text-7xl font-bold italic mb-6,The Autumn Haven
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,decomposed,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,1107,no,no,,row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,"Edition 01 The Valley Mill A mill suspended over a resin river, surrounded by copper folia"
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,decomposed,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,1107,no,no,,row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,Edition 02 The Alchemist's Cabin A steep tower embedded in basalt rock with climbing moss.
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,decomposed,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,1107,no,no,,row-cell,html,code_block,yes,no,unrecognized cell → code_block,,,"Edition 03 Bridge of Souls A stone arch over dark waters, flanked by golden trees. View De"
