site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,background-image,5,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,background-color,1,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,border-radius,2,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,transform,5,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,0,relative min-h-[100svh] flex flex-col items-center justify-center overflow-hidden,display-flex,4,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,background-color,6,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,box-shadow,4,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,border,5,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,border-radius,5,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,padding,6,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,margin,13,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,transform,6,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,position-absolute,1,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,1,relative py-32 px-6 lg:px-12 bg-obsidian,display-grid,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,background-image,6,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,backdrop-filter,6,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,box-shadow,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,border,6,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,border-radius,6,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,padding,7,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,margin,12,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,position-absolute,9,yes
https://openhero.art/api/preview?category=nature&slug=crystal-universe,home,2,py-32 px-6 lg:px-12 relative overflow-hidden bg-obsidian,display-grid,1,yes
