site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,background-image,2,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,background-color,16,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,backdrop-filter,3,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,border,12,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,border-radius,21,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,max-width,4,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,padding,13,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,margin,13,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,gap,19,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,transform,10,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,display-flex,24,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,0,relative min-h-screen flex flex-col justify-between overflow-hidden pt-20,display-grid,3,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,background-color,8,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,backdrop-filter,3,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,border,6,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,border-radius,7,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,margin,10,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,position-absolute,2,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,1,py-32 px-6 relative bg-zinc-950,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,border,3,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,margin,6,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,gap,5,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,position-absolute,1,yes
https://openhero.art/api/preview?category=nature&slug=homexis-platform,home,2,py-24 px-6 border-t border-zinc-900 bg-black,display-flex,5,yes
