site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,background-image,3,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,background-color,6,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,backdrop-filter,3,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,border,5,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,border-radius,3,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,transform,2,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,position-absolute,5,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,0,relative h-screen w-screen grid grid-cols-1 md:grid-cols-[65fr_35fr] overflow-hidden,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,background-color,3,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,border,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,border-radius,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,padding,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,margin,9,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,transform,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,position-absolute,2,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,1,relative py-40 px-12 md:px-24 bg-obsidian,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,background-image,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,background-color,8,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,padding,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,margin,2,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,transform,6,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,position-absolute,6,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,display-flex,4,yes
https://openhero.art/api/preview?category=enterprice&slug=kinetic-fashion-elements,home,2,bg-obsidian py-40,display-grid,1,yes
