site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",background-image,3,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",background-color,6,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",backdrop-filter,4,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",box-shadow,7,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",border-radius,8,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",max-width,1,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",padding,4,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",margin,7,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",gap,2,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",transform,1,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",position-absolute,2,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",display-flex,6,yes
https://openhero.art/api/preview?category=abstract&slug=liquid-high-fidelity,home,0,"bento-grid grid grid-cols-1 md:grid-cols-12 gap-6 auto-rows-[minmax(320px,auto)] reveal-scroll",display-grid,1,yes
