site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,background-image,2,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,background-color,2,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,backdrop-filter,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,border-radius,2,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,padding,5,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,margin,6,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,gap,7,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,position-absolute,2,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,0,relative min-h-screen flex flex-col items-center justify-center pt-20 overflow-hidden,display-flex,10,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],background-image,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],background-color,7,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],border,4,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],border-radius,6,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],max-width,2,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],padding,4,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],margin,10,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],gap,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],display-flex,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,1,py-32 px-6 relative border-t border-zinc-900 bg-[#09090b],display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,background-image,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,background-color,4,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,border,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,border-radius,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,max-width,4,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,padding,4,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,margin,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,gap,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,position-absolute,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,display-flex,5,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,2,py-24 px-6 bg-zinc-950 border-t border-zinc-900,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],background-color,6,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],border,6,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],border-radius,7,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],padding,8,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],margin,22,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],gap,15,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],transform,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],display-flex,17,yes
https://openhero.art/api/preview?category=tech&slug=lumina-ai,home,3,py-32 px-6 border-t border-zinc-900 bg-[#09090b],display-grid,1,yes
