site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,background-image,2,no
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,background-color,1,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,border,2,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,border-radius,4,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,max-width,1,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,padding,4,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,margin,7,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,gap,4,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,transform,8,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,position-absolute,2,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,0,hero,display-flex,4,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,background-image,2,no
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,background-color,33,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,backdrop-filter,6,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,box-shadow,6,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,border,22,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,border-radius,33,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,padding,26,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,margin,38,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,gap,14,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,transform,8,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,position-absolute,10,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,display-flex,20,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,1,bento-section,display-grid,3,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,background-color,13,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,backdrop-filter,6,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,border,6,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,border-radius,12,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,padding,7,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,margin,15,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,gap,2,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,transform,7,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,display-flex,7,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,2,features-section,display-grid,1,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,testimonial-section,background-image,1,no
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,testimonial-section,background-color,2,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,testimonial-section,backdrop-filter,1,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,testimonial-section,border,1,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,testimonial-section,border-radius,2,yes
https://openhero.art/api/preview?category=abstract&slug=lumina-arctic-high-fidelity-expedition-gear,home,3,testimonial-section,max-width,1,yes
