site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,background-image,5,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,background-color,8,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,backdrop-filter,5,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,box-shadow,9,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,border,9,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,border-radius,12,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,padding,12,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,margin,14,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,gap,3,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,transform,8,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,position-absolute,8,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,0,hero,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,background-image,8,no
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,box-shadow,8,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,border,8,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,padding,9,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,margin,12,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,gap,14,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,transform,8,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,display-flex,13,yes
https://openhero.art/api/preview?category=enterprice&slug=master-built-regenerative-structures,home,1,section,display-grid,1,yes
