kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~3728px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~3728px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.animate-ping,"infinite keyframes 'ping' (transform,opacity)",physics float/pulse or backgrounds module,low
css-animation,.animate-spin,infinite keyframes 'spin' (transform),physics float/pulse or backgrounds module,low
css-animation,.animate-pulse,infinite keyframes 'pulse' (opacity),physics float/pulse or backgrounds module,low
hover,.keycap-glow,box-shadow change on hover,interaction: {effect:'lift'} or glow_border,medium
hover,.isometric-card,"transform, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'lift'},medium
hover,.hover\:border-cyber-glow,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-slate-400,"--tw-border-opacity, border-top-color, border-right-color, border-bottom-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-cyber-accent\/40,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-cyber-lamp\/40,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:border-cyber-glow\/40,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-cyber-glow,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:bg-cyber-amber,"--tw-bg-opacity, background-color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-cyber-glow,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.hover\:text-white,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:text-cyber-accent,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:text-cyber-lamp,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,.group .group-hover\:text-cyber-glow,"--tw-text-opacity, color change on hover",interaction: {effect:'color_shift'},medium
hover,font-mono text-xs border border-cyber-accent/30 px-5 py-2.5 ,"color, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,px-8 py-4 bg-cyber-accent text-cyber-bg font-mono text-xs up,"boxShadow, background change on hover",interaction: {effect:'color_shift'},medium
hover,px-8 py-4 border border-cyber-border bg-cyber-surface/40 fon,borderColor change on hover,interaction: {effect:'color_shift'},medium
hover,isometric-card border border-cyber-border bg-cyber-card p-8 ,"transform, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,border border-cyber-border bg-cyber-card p-8 flex flex-col j,borderColor change on hover,interaction: {effect:'color_shift'},medium
hover,px-8 py-4 bg-white text-cyber-bg font-mono text-xs uppercase,background change on hover,interaction: {effect:'color_shift'},medium
hover,w-full sm:w-auto px-8 py-4 bg-cyber-accent text-cyber-bg fon,background change on hover,interaction: {effect:'color_shift'},medium
