site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,background-image,2,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,background-color,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,box-shadow,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,border,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,padding,5,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,margin,4,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,gap,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,transform,2,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,position-absolute,2,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,display-flex,2,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,0,relative min-h-screen flex items-center justify-center overflow-hidden pt-20,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,background-color,4,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,border,6,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,max-width,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,padding,8,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,margin,12,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,gap,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,transform,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,1,py-32 max-w-7xl mx-auto px-6,display-grid,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,background-image,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,background-color,7,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,box-shadow,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,border,4,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,border-radius,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,padding,6,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,margin,11,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,gap,4,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,transform,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,2,py-32 bg-cyber-surface/50 border-y border-cyber-border,display-flex,5,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,background-color,6,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,border,6,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,max-width,2,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,padding,4,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,margin,9,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,gap,2,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,transform,1,yes
https://openhero.art/api/preview?category=tech&slug=micro-workspace-protocol,home,3,py-32 max-w-7xl mx-auto px-6,display-flex,10,yes
