site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,background-image,2,no
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,backdrop-filter,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,box-shadow,3,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,border,3,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,margin,5,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,gap,7,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,transform,8,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,position-absolute,5,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,0,hero,display-flex,8,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,background-color,7,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,backdrop-filter,3,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,box-shadow,3,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,border,9,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,border-radius,6,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,max-width,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,padding,7,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,margin,14,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,transform,5,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,1,telemetry-section,display-flex,8,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,background-image,3,no
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,backdrop-filter,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,border,8,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,padding,7,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,margin,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,transform,8,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,position-absolute,6,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,display-flex,7,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,2,biome-section section-glow,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,background-image,32,no
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,border,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,border-radius,36,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,max-width,6,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,margin,15,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,gap,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,3,section-glow,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,background-image,6,no
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,background-color,13,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,backdrop-filter,6,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,border,6,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,border-radius,18,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,padding,7,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,margin,27,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,transform,14,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,display-flex,1,yes
https://openhero.art/api/preview?category=nature&slug=national-geographic-conservation-technology,home,4,genomic-section,display-grid,1,yes
