site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,box-shadow,2,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,border,3,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,border-radius,2,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,transform,5,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,position-absolute,3,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,display-flex,5,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,0,min-h-screen w-full grid grid-cols-1 lg:grid-cols-2 relative z-10,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,box-shadow,2,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,border,6,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,border-radius,6,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,margin,8,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,gap,4,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,transform,5,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,position-absolute,2,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,position-sticky,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,display-flex,7,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,1,py-40 px-6 md:px-16 lg:px-24 w-full relative z-20,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,2,h-[50vh] w-full flex items-center justify-center relative z-20 mb-32,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,2,h-[50vh] w-full flex items-center justify-center relative z-20 mb-32,margin,2,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,2,h-[50vh] w-full flex items-center justify-center relative z-20 mb-32,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=neural-landscapes,home,2,h-[50vh] w-full flex items-center justify-center relative z-20 mb-32,display-flex,1,yes
