site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,decomposed,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,720,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,text-7xl md:text-8xl font-light leading-tight bg-clip-text text-transparent bg-gradient-to-br from-white via-gray-300 to-[oklch(65%_0.2_260)],Spatial Computing. Absolute Reality.
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,decomposed,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,720,no,no,,button,button,button,no,no,button → button,button,photon-glow px-10 py-5 text-lg font-medium flex items-center gap-3 transition-link,Initialize Sequence
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,decomposed,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,720,no,no,,button,button,button,no,no,button → button,button,lens-refraction px-10 py-5 text-lg font-medium hover:bg-white/10 transition-colors,View Telemetry
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,decomposed,mt-64 asymmetric-hub scroll-assembly @container,662,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,decomposed,mt-64 asymmetric-hub scroll-assembly @container,662,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h3,text-3xl font-semibold mb-4,Terabit-Scale Throughput
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,decomposed,mt-64 asymmetric-hub scroll-assembly @container,662,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,decomposed,mt-64 asymmetric-hub scroll-assembly @container,662,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h3,text-3xl font-semibold mb-4,Holographic Optics
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,decomposed,mt-64 asymmetric-hub scroll-assembly @container,662,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,decomposed,mt-64 asymmetric-hub scroll-assembly @container,662,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-5xl font-light mb-6,Fluid Geometry
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,decomposed,mt-64 scroll-assembly,547,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,decomposed,mt-64 scroll-assembly,547,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-5xl md:text-7xl font-light mb-8,Enter the Vanguard
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,decomposed,mt-64 scroll-assembly,547,no,no,,button,button,button,no,no,button → button,button,photon-glow px-12 py-6 text-xl font-medium,Deploy Prototype
