site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,background-image,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,background-color,4,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,box-shadow,4,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,border,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,border-radius,4,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,max-width,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,padding,4,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,margin,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,gap,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,0,min-h-[80vh] flex flex-col justify-center max-w-4xl @container,display-flex,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,background-image,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,background-color,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,box-shadow,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,border,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,border-radius,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,max-width,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,padding,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,margin,7,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,gap,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,transform,3,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,display-flex,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,1,mt-64 asymmetric-hub scroll-assembly @container,display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,background-color,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,backdrop-filter,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,box-shadow,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,border,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,border-radius,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,max-width,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,padding,2,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,margin,5,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,transform,1,yes
https://openhero.art/api/preview?category=tech&slug=new-era-of-spatial-computing,home,2,mt-64 scroll-assembly,display-flex,1,yes
