site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,background-color,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,border,2,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,padding,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,margin,2,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,transform,3,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,position-absolute,2,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,position-sticky,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,0,tectonic-section z-10,display-flex,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,border,5,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,margin,6,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,position-absolute,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,position-sticky,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,display-flex,2,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,1,tectonic-section z-20 bg-storm,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,background-image,1,no
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,background-color,6,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,backdrop-filter,5,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,border,6,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,margin,5,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,position-absolute,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,position-sticky,1,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,display-flex,4,yes
https://openhero.art/api/preview?category=nature&slug=obsidian-horizon,home,2,tectonic-section z-30 bg-basalt,display-grid,2,yes
