site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,background-image,1,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,background-color,3,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,border,1,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,border-radius,1,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,max-width,3,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,padding,1,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,margin,5,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,gap,5,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,transform,4,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,position-absolute,4,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,display-flex,7,yes
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,0,min-h-screen grid grid-cols-1 lg:grid-cols-2 relative w-full max-w-[1600px] mx-auto pt-32 lg:pt-0 mb-24,display-grid,1,yes
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,background-image,4,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,background-color,3,yes
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,backdrop-filter,4,yes
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,box-shadow,4,yes
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,border-radius,6,yes
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,max-width,3,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,padding,6,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,margin,7,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,gap,6,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,transform,3,yes
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,display-flex,9,no
https://openhero.art/api/preview?category=abstract&slug=orbital-horizon,home,1,@container w-full max-w-[1200px] px-6,display-grid,1,no
