site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,background-color,3,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,border,2,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,margin,4,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,gap,6,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,0,relative min-h-screen flex items-center justify-start overflow-hidden px-6 lg:px-32,display-flex,7,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,background-color,10,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,border,9,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,border-radius,8,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,margin,12,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,position-sticky,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,display-flex,4,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,1,py-36 px-6 lg:px-16 bg-slate-950 relative border-t border-slate-900,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,border,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,padding,2,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,margin,9,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=perspective-shift,home,2,py-32 px-6 lg:px-16 bg-[#040817] relative overflow-hidden,display-grid,1,yes
