site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,verbatim,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,Expand The Horizon Observe the planetary ecosystem from a perspective previously reserved 
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,decomposed,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,865,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,decomposed,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,865,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,decomposed,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,865,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,card,icon_box,no,no,card → icon_box,,,Phase 01 / Overview The Macro Perspective. To understand the delicate balance of our world
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,decomposed,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,865,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,image-composite,media_image,no,no,"image + content overlay → native media_image + icon_box (decomposed, editable)",,,Live Feed :: Sector 7G
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,decomposed,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,731,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,text,text_block,no,no,text cell → text_block,,,Systems Architecture Engineered for the absolute unknown. View Technical Specs
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,decomposed,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,731,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,card,icon_box,no,no,card → icon_box,,,Lidar Penetration Map sub-canopy topography and subterranean structures with deep-penetrat
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,decomposed,py-24 px-6 bg-space-900 border-t border-slate-800/50,332,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Active Satellites 1,402"
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,decomposed,py-24 px-6 bg-space-900 border-t border-slate-800/50,332,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Data Processed 84 PB/s
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,decomposed,py-24 px-6 bg-space-900 border-t border-slate-800/50,332,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Surface Mapped 99.8 %
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,decomposed,py-24 px-6 bg-space-900 border-t border-slate-800/50,332,no,yes,"borderTop=1px solid rgba(30, 41, 59, 0.5)",row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Uptime Core 100 %
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,decomposed,relative py-40 px-6 overflow-hidden,657,no,no,,image,image,media_image,no,no,image → media_image,,,
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,decomposed,relative py-40 px-6 overflow-hidden,657,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,decomposed,relative py-40 px-6 overflow-hidden,657,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,decomposed,relative py-40 px-6 overflow-hidden,657,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-4xl md:text-6xl font-black uppercase tracking-tighter mb-8,Access The Archive
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,decomposed,relative py-40 px-6 overflow-hidden,657,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Request Access
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,decomposed,relative py-40 px-6 overflow-hidden,657,no,no,,text,text,text_block,no,no,text → text_block,p,font-mono text-[10px] text-slate-500 uppercase mt-6 tracking-widest,Level 4 Clearance Required. Encryption standard AES-256 active.
