site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,gap,4,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,0,relative min-h-screen flex flex-col items-center justify-center overflow-hidden,display-flex,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,background-image,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,border,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,border-radius,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,margin,9,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,gap,4,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,1,py-32 px-6 bg-space-900 relative border-t border-slate-800/50,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,border,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,margin,9,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,position-absolute,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,display-flex,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,2,py-32 px-6 bg-[#060a14] relative border-t border-slate-800/50,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,py-24 px-6 bg-space-900 border-t border-slate-800/50,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,py-24 px-6 bg-space-900 border-t border-slate-800/50,border,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,py-24 px-6 bg-space-900 border-t border-slate-800/50,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,py-24 px-6 bg-space-900 border-t border-slate-800/50,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,py-24 px-6 bg-space-900 border-t border-slate-800/50,margin,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,3,py-24 px-6 bg-space-900 border-t border-slate-800/50,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,border,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,margin,5,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,position-absolute,2,yes
https://openhero.art/api/preview?category=nature&slug=planetary-horizons,home,4,relative py-40 px-6 overflow-hidden,display-flex,1,yes
