site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],background-image,5,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],background-color,3,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],backdrop-filter,4,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],box-shadow,4,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],border,6,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],border-radius,7,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],max-width,5,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],padding,5,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],margin,6,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],gap,4,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],transform,4,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],position-absolute,2,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],display-flex,3,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,0,relative mx-auto grid min-h-[92vh] max-w-[1600px] items-center gap-16 lg:grid-cols-[.46fr_.54fr],display-grid,1,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],background-image,3,no
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],background-color,7,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],backdrop-filter,2,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],box-shadow,2,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],border,2,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],border-radius,10,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],max-width,4,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],padding,2,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],margin,10,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],gap,2,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],transform,4,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],position-absolute,1,yes
https://openhero.art/api/preview?category=tech&slug=reactive-forest-intelligence,home,1,relative mx-auto mt-32 max-w-[1600px],display-flex,6,yes
