site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,background-image,1,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,background-color,9,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,backdrop-filter,4,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,box-shadow,4,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,border,8,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,border-radius,9,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,padding,12,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,margin,10,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,gap,7,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,transform,3,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,position-absolute,2,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,display-flex,7,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,0,hero,display-grid,2,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,background-image,3,no
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,background-color,5,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,border,14,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,border-radius,8,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,padding,14,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,margin,17,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,gap,9,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,display-flex,3,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,1,section,display-grid,7,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,background-image,7,no
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,background-color,3,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,border,9,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,border-radius,9,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,max-width,7,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,padding,10,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,margin,25,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,gap,3,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,transform,6,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,display-flex,7,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,2,telemetry,display-grid,2,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,background-image,3,no
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,background-color,5,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,border,5,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,border-radius,5,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,padding,6,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,margin,7,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,gap,3,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=real-time-financial-intelligence,home,3,ledger-footer,display-grid,2,yes
