site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,decomposed,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,decomposed,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,decomposed,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,font-serif text-5xl md:text-8xl lg:text-[8rem] leading-[0.9] spectral-text liquid-terminals reveal active delay-200 max-w-6xl mx-auto,Rebalancing the planet with photosynthesis
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,1,decomposed,min-h-screen w-full relative z-20 py-40 px-6 md:px-12 lg:px-24 bg-midnight,985,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,1,decomposed,min-h-screen w-full relative z-20 py-40 px-6 md:px-12 lg:px-24 bg-midnight,985,no,no,,row-cell,text,text_block,no,no,text cell → text_block,,,"Spectral Irradiance The structural geometry of our synthetic flora adapts in real-time, re"
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,1,decomposed,min-h-screen w-full relative z-20 py-40 px-6 md:px-12 lg:px-24 bg-midnight,985,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Liquid Synthesis Harnessing specific wavelengths to accelerate chlorophyll production. The
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,2,decomposed,"py-40 px-6 md:px-12 lg:px-24 w-full bg-surface relative z-20 overflow-hidden rounded-t-[3rem] border-t border-white/10 shadow-[0_-20px_60px_rgba(0,0,0,0.5)]",1057,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1) | boxShadow=rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0.5) 0px -20px 60px 0px | borderRadius=48px 48px 0px 0px",html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,2,decomposed,"py-40 px-6 md:px-12 lg:px-24 w-full bg-surface relative z-20 overflow-hidden rounded-t-[3rem] border-t border-white/10 shadow-[0_-20px_60px_rgba(0,0,0,0.5)]",1057,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1) | boxShadow=rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0.5) 0px -20px 60px 0px | borderRadius=48px 48px 0px 0px",heading,heading,special_heading,no,no,heading → special_heading,h2,font-serif text-4xl md:text-6xl text-white mb-6,Genomic Architecture
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,2,decomposed,"py-40 px-6 md:px-12 lg:px-24 w-full bg-surface relative z-20 overflow-hidden rounded-t-[3rem] border-t border-white/10 shadow-[0_-20px_60px_rgba(0,0,0,0.5)]",1057,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1) | boxShadow=rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0.5) 0px -20px 60px 0px | borderRadius=48px 48px 0px 0px",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Cellular Growth 3.4x Increased carbon sequestration per leaf surface area.
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,2,decomposed,"py-40 px-6 md:px-12 lg:px-24 w-full bg-surface relative z-20 overflow-hidden rounded-t-[3rem] border-t border-white/10 shadow-[0_-20px_60px_rgba(0,0,0,0.5)]",1057,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.1) | boxShadow=rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0) 0px 0px 0px 0px, rgba(0, 0, 0, 0.5) 0px -20px 60px 0px | borderRadius=48px 48px 0px 0px",row-cell,card,icon_box,no,no,card → icon_box,,,Photon Yield Optimal at 450nm
