site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,background-image,1,no
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,background-color,1,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,border,1,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,border-radius,4,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=rebalancing-the-planet-with-photosynthesis,home,0,min-h-screen w-full flex flex-col justify-center items-center text-center px-4 pt-32 pb-20 relative,position-absolute,2,yes
