site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,background-image,2,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,background-color,4,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,backdrop-filter,3,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,box-shadow,2,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,border,5,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,border-radius,5,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,max-width,4,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,padding,5,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,gap,2,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,transform,8,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,position-absolute,3,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,0,relative min-h-[100svh] overflow-hidden,display-flex,2,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,1,ridges relative px-6 py-24 md:px-10,background-image,6,no
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,1,ridges relative px-6 py-24 md:px-10,box-shadow,3,yes
https://openhero.art/api/preview?category=tech&slug=red-planet-architecture,home,1,ridges relative px-6 py-24 md:px-10,border,3,yes
