site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,box-shadow,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,border,6,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,border-radius,6,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,padding,8,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,transform,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,0,hero,display-flex,2,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,background-image,2,no
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,background-color,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,box-shadow,2,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,border,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,border-radius,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,margin,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,display-flex,2,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,1,section,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,background-image,6,no
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,box-shadow,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,border,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,border-radius,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,max-width,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,margin,6,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,2,section pt-0,display-grid,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,background-image,1,no
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,box-shadow,2,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,border,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,border-radius,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=regenerative-landscapes,home,3,terrain-core,display-flex,1,yes
