site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,text,text,text_block,no,no,text → text_block,div,mb-6 inline-flex items-center gap-2 rounded-full border border-white/10 bg-black/50 px-4 py-2 shell-mist copy text-[11px] text-white/68,Biophilic integration · Photovoltaic envelopes · Geothermal equilibrium
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"serif max-w-3xl text-[clamp(3.9rem,8vw,7.5rem)] leading-[0.88] text-white drop-shadow-[0_10px_30px_rgba(0,0,0,0.5)] drop-shadow-[0_20px_50px_rgba(0,0,0,0.3)]",Terraform Estates
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,dew lift shell squircle px-6 py-3.5 copy text-sm text-white,Explore residences
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,button,button,button,no,no,button → button,button,squircle border border-white/10 bg-white/20 px-6 py-3.5 copy text-sm text-white/78 backdrop-blur-xl transition hover:bg-white/[0.05] hover:text-white,View portfolio
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,decomposed,relative min-h-[100svh] overflow-hidden,900,no,no,,text,text,text_block,no,no,text → text_block,div,mt-10 flex flex-wrap gap-3 text-[11px] uppercase tracking-[0.22em] text-white/48,Solar villas Urban sanctuaries Regenerative portfolios
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,612,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,"serif mt-4 text-[clamp(2.5rem,5vw,4.8rem)] leading-[0.92] text-white","Luxury brokerage shaped by light, ecology, and quiet precision."
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,612,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Biophilic integration Homes where living systems, natural airflow, and curated landscapes "
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,612,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Photovoltaic envelopes Façades that generate power while preserving the calm visual langua
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,612,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,"Net-positive habitation Residences designed to return more energy, comfort, and ecological"
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,1217,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,"serif mt-4 text-[clamp(2.5rem,5vw,4.8rem)] leading-[0.92] text-white","Selected estates with a river-like flow, no rigid box."
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,1217,no,no,,row-cell,image,media_image,no,no,image cell → media_image,,,
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,1217,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Solar villa The Orchard Residence A secluded villa with photovoltaic skin, thermal mass, a"
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,1217,no,no,,row-cell,image,media_image,no,no,image cell → media_image,,,
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,decomposed,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,1217,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,"Urban biophilic Canopy District A mixed-use living block where terraces, trees, and daylig"
