site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,background-image,5,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,background-color,6,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,backdrop-filter,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,box-shadow,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,border,7,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,border-radius,7,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,max-width,4,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,padding,7,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,margin,4,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,gap,4,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,transform,4,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,position-absolute,5,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,display-flex,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,0,relative min-h-[100svh] overflow-hidden,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,background-image,3,no
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,backdrop-filter,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,box-shadow,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,border,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,border-radius,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,padding,4,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,margin,5,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,transform,3,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,1,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,background-image,2,no
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,background-color,8,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,backdrop-filter,2,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,box-shadow,2,yes
https://openhero.art/api/preview?category=enterprice&slug=regenerative-living-architecture,home,2,divider relative mx-auto max-w-[1600px] px-6 py-20 lg:px-10,border,8,yes
