site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,border,2,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,border-radius,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,padding,2,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,margin,4,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,position-absolute,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,0,min-h-screen relative flex items-center justify-center px-6 pt-24,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,background-image,5,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,box-shadow,7,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,border-radius,12,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,margin,16,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,transform,5,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,display-flex,4,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,1,py-32 px-6 relative z-10,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,background-image,2,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,backdrop-filter,2,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,box-shadow,3,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,border,2,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,border-radius,3,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=resilient-flora-engineering,home,2,py-40 px-6 relative z-10 flex justify-center,display-flex,2,yes
