site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,background-color,1,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,border-radius,1,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,max-width,4,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,padding,1,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=sierra-the-ancient-future-of-the-andes,home,0,min-h-[88vh] w-full max-w-[1800px] mx-auto px-8 md:px-16 grid grid-cols-1 lg:grid-cols-2 gap-12 relative overflow-hidden,gap,5,yes
