site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,border,4,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,border-radius,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,margin,4,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,position-absolute,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,0,relative w-full h-screen flex items-center justify-center overflow-hidden,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,background-color,9,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,border,5,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,margin,13,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,display-flex,7,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,1,py-32 px-6 max-w-7xl mx-auto border-t border-white/5,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,border,4,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,border-radius,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,margin,9,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,position-absolute,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,2,py-32 bg-apex-surface relative overflow-hidden border-t border-b border-white/5,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,py-32 px-6 max-w-7xl mx-auto,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,py-32 px-6 max-w-7xl mx-auto,border,5,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,py-32 px-6 max-w-7xl mx-auto,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,py-32 px-6 max-w-7xl mx-auto,padding,31,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,py-32 px-6 max-w-7xl mx-auto,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,py-32 px-6 max-w-7xl mx-auto,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,3,py-32 px-6 max-w-7xl mx-auto,display-flex,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,background-image,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,box-shadow,1,no
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,border,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,border-radius,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,margin,6,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,gap,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,position-absolute,2,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,display-flex,1,yes
https://openhero.art/api/preview?category=nature&slug=solitary-elevation-project,home,4,py-40 bg-[#04060e] border-t border-white/5 relative overflow-hidden,display-grid,1,yes
