site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,background-image,3,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,backdrop-filter,1,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,border,2,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,margin,2,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,0,relative w-full h-screen flex items-center overflow-hidden,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,1,py-40 px-8 lg:px-20 max-w-9xl mx-auto border-t border-white/5 relative,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,1,py-40 px-8 lg:px-20 max-w-9xl mx-auto border-t border-white/5 relative,border,5,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,1,py-40 px-8 lg:px-20 max-w-9xl mx-auto border-t border-white/5 relative,padding,5,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,1,py-40 px-8 lg:px-20 max-w-9xl mx-auto border-t border-white/5 relative,margin,10,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,1,py-40 px-8 lg:px-20 max-w-9xl mx-auto border-t border-white/5 relative,gap,2,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,1,py-40 px-8 lg:px-20 max-w-9xl mx-auto border-t border-white/5 relative,position-sticky,1,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,1,py-40 px-8 lg:px-20 max-w-9xl mx-auto border-t border-white/5 relative,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,2,py-40 bg-darkroom-950 border-t border-b border-white/5 relative,background-image,8,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,2,py-40 bg-darkroom-950 border-t border-b border-white/5 relative,background-color,2,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,2,py-40 bg-darkroom-950 border-t border-b border-white/5 relative,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,2,py-40 bg-darkroom-950 border-t border-b border-white/5 relative,border,14,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,2,py-40 bg-darkroom-950 border-t border-b border-white/5 relative,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=speculative-architecture-studio,home,2,py-40 bg-darkroom-950 border-t border-b border-white/5 relative,padding,19,yes
