site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,0,decomposed,min-h-[85vh] flex flex-col justify-center max-w-5xl @container,765,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,text-6xl md:text-8xl font-bold leading-none bg-clip-text text-transparent bg-gradient-to-r from-white via-gray-400 to-[oklch(65%_0.25_45)] uppercase tracking-tighter,Orange Sapphire. Absolute Fusion.
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,0,decomposed,min-h-[85vh] flex flex-col justify-center max-w-5xl @container,765,no,no,,button,button,button,no,no,button → button,button,magnetic-liquid px-12 py-6 text-sm tracking-widest uppercase font-bold flex items-center gap-4 transition-link,Engage Caliber
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,0,decomposed,min-h-[85vh] flex flex-col justify-center max-w-5xl @container,765,no,no,,button,button,button,no,no,button → button,button,lens-refraction px-12 py-6 text-sm tracking-widest uppercase font-light hover:bg-white/5 transition-colors,Read Telemetry
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,1,decomposed,mt-40 hex-hub scroll-assembly @container,728,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,1,decomposed,mt-40 hex-hub scroll-assembly @container,728,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h3,text-2xl font-bold mb-4 uppercase tracking-wider syncopate,Tourbillon Synchronization
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,1,decomposed,mt-40 hex-hub scroll-assembly @container,728,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,1,decomposed,mt-40 hex-hub scroll-assembly @container,728,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h3,text-2xl font-bold mb-4 uppercase tracking-wider syncopate,72-H Power Telemetry
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,1,decomposed,mt-40 hex-hub scroll-assembly @container,728,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,1,decomposed,mt-40 hex-hub scroll-assembly @container,728,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,1,decomposed,mt-40 hex-hub scroll-assembly @container,728,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-4xl font-bold mb-6 uppercase tracking-tight syncopate,Orange Ceramic Anodization
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,2,decomposed,mt-64 scroll-assembly,675,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,2,decomposed,mt-64 scroll-assembly,675,no,no,,html,html,code_block,yes,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,2,decomposed,mt-64 scroll-assembly,675,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-5xl md:text-7xl font-bold mb-8 uppercase tracking-tighter syncopate glow-text,Architect Time
https://openhero.art/api/preview?category=tech&slug=swiss-luxury-watches-and-chronographs,home,2,decomposed,mt-64 scroll-assembly,675,no,no,,button,button,button,no,no,button → button,button,magnetic-liquid px-16 py-8 text-xl tracking-widest uppercase font-bold,Acquire Masterpiece
