site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,background-image,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,background-color,5,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,backdrop-filter,4,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,box-shadow,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,border,6,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,border-radius,6,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,max-width,4,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,padding,6,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,gap,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,transform,4,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,position-absolute,4,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,0,relative min-h-screen overflow-hidden,display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,relative overflow-hidden px-8 py-40,background-image,1,no
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,relative overflow-hidden px-8 py-40,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,relative overflow-hidden px-8 py-40,padding,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,relative overflow-hidden px-8 py-40,margin,3,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,relative overflow-hidden px-8 py-40,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,relative overflow-hidden px-8 py-40,position-absolute,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,1,relative overflow-hidden px-8 py-40,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,background-image,1,no
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,border,4,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,border-radius,4,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,padding,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,margin,4,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,position-absolute,3,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,2,px-8 py-20,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,overflow-hidden py-40,padding,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,overflow-hidden py-40,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,overflow-hidden py-40,transform,1,no
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,3,overflow-hidden py-40,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,background-image,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,backdrop-filter,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,border,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,border-radius,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,padding,2,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,margin,3,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=synthetic-light-architectures,home,4,px-8 py-20,display-grid,2,yes
