site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,verbatim,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,900,no,no,,verbatim,section-html,code_block,yes,no,whole section kept verbatim (hero / media-bearing / undecomposable) → code_block,,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,Where the storm Meets the blade. Embrace the quiet fury of nature. Stand upon the precipic
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,1,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto,745,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,ANCIENT PATHWAYS The world breathes in perfect harmony . To walk the path of the gale is t
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,1,decomposed,py-32 px-6 md:px-12 max-w-7xl mx-auto,745,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,Gale Ascension Harness dynamic atmospheric pressure to elevate agility and outpace opponen
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,2,decomposed,py-32 bg-spirit-ink/40 border-y border-white/5,1441,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,MARTIAL PHILOSOPHY Stances of the Elements
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,2,decomposed,py-32 bg-spirit-ink/40 border-y border-white/5,1441,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,buttons,button,no,no,button group → button(s),,,Wind Water Sun
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,2,decomposed,py-32 bg-spirit-ink/40 border-y border-white/5,1441,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,The Zephyr Flow A highly dynamic stance dedicated to deflecting incoming projectiles and p
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,2,decomposed,py-32 bg-spirit-ink/40 border-y border-white/5,1441,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,The Torrent Surge Fluid and relentless. Designed specifically to shatter the defensive shi
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,2,decomposed,py-32 bg-spirit-ink/40 border-y border-white/5,1441,no,yes,"borderTop=1px solid rgba(255, 255, 255, 0.05) | borderBottom=1px solid rgba(255, 255, 255, 0.05)",row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,The Solstice Flare Uncompromising precision. Executed when the light angles flawlessly ove
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,3,decomposed,py-32 max-w-7xl mx-auto px-6 md:px-12,846,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,BOUNDLESS REFUGE The Sacrificial Vistas
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,3,decomposed,py-32 max-w-7xl mx-auto px-6 md:px-12,846,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,Witness the geographic realms where the elements congregate to test the limits of ancient 
