site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,background-image,2,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,border,2,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,border-radius,1,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,padding,2,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,margin,2,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,transform,2,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,position-absolute,2,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,display-flex,3,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,0,relative min-h-screen flex items-end justify-center overflow-hidden pb-24 md:pb-32,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto,background-image,4,no
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto,background-color,4,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto,border,5,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto,max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=tale-of-the-gale,home,1,py-32 px-6 md:px-12 max-w-7xl mx-auto,padding,7,yes
