kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~2636px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~2636px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#35,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
trace,trace#43,opacity 0→1 with a transform while entering the viewport,"gsap_motion: {effect:'reveal', reveal:{direction:'up'}}",medium
css-animation,.light-corridor,infinite keyframes 'corridor-breathe' translating X,marquee fx: {mode:'left'},high
css-animation,.eyebrow,keyframes 'petal-unfold' 1s,entrance animation (Animate.css picker),low
css-animation,.hero-title-line span,keyframes 'petal-rise' 1.1s,entrance animation (Animate.css picker),low
css-animation,.hero-subtitle,keyframes 'petal-unfold' 0.9s,entrance animation (Animate.css picker),low
css-animation,.hero-actions,keyframes 'petal-unfold' 0.9s,entrance animation (Animate.css picker),low
css-animation,.lunar-portal-wrap,keyframes 'petal-unfold' 1.2s,entrance animation (Animate.css picker),low
css-animation,.lunar-portal,"infinite keyframes 'portal-morph' (border-top-left-radius,border-top-right-radius,border-bottom-right-radius,border-bottom-left-radius)",physics float/pulse or backgrounds module,low
css-animation,.lunar-portal-fallback,infinite keyframes 'harvest-shimmer' (filter),physics float/pulse or backgrounds module,low
css-animation,.lunar-portal-glow,"infinite keyframes 'portal-morph' (border-top-left-radius,border-top-right-radius,border-bottom-right-radius,border-bottom-left-radius)",physics float/pulse or backgrounds module,low
css-animation,.moon-badge,infinite keyframes 'badge-float' (transform),physics float/pulse or backgrounds module,low
css-animation,.scrubber-bar,"infinite keyframes 'scrub-pulse' (transform,opacity)",physics float/pulse or backgrounds module,low
css-animation,.ticker-track,infinite keyframes 'ticker-scroll' translating X,marquee fx: {mode:'left'},high
css-animation,.wind-sway,infinite keyframes 'wind-sway' (transform),physics float/pulse or backgrounds module,low
hover,"body:has(button) .cursor-aura, body:has(a) .cursor-aura","width, height, border-top-color, border-right-color change on hover",interaction: {effect:'color_shift'},medium
hover,.nav-links a,color change on hover,interaction: {effect:'color_shift'},medium
hover,.btn-dew,"border-top-color, border-right-color, border-bottom-color, border-left-color change on hover",interaction: {effect:'lift'} or glow_border,medium
hover,.btn-dew-gold,"background-color, box-shadow change on hover",interaction: {effect:'lift'} or glow_border,medium
hover,.bio-card,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.regolith-item,"background-image, background-position-x, background-position-y, background-size change on hover",interaction: {effect:'color_shift'},medium
hover,.cta-submit,"background-image, background-position-x, background-position-y, background-size change on hover",interaction: {effect:'lift'},medium
hover,.footer-links a,color change on hover,interaction: {effect:'color_shift'},medium
hover,btn-dew btn-dew-gold,"boxShadow, background, borderColor change on hover",interaction: {effect:'color_shift'},medium
hover,btn-dew,"boxShadow, borderColor change on hover",interaction: {effect:'color_shift'},medium
