site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,background-image,4,no
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,backdrop-filter,3,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,border,6,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,border-radius,5,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,padding,6,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,margin,11,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,gap,4,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,transform,9,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,display-flex,5,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,0,hero,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,background-image,34,no
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,background-color,30,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,backdrop-filter,12,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,border,22,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,border-radius,54,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,padding,20,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,margin,40,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,gap,20,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,transform,23,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,position-absolute,6,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,display-flex,22,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,1,rhizo-section,display-grid,5,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,background-image,2,no
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,background-color,8,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,backdrop-filter,6,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,border,7,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,border-radius,9,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,padding,8,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,margin,3,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,gap,9,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,transform,1,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,position-absolute,2,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,display-flex,3,yes
https://openhero.art/api/preview?category=nature&slug=terraform-industries-scalable-carbon-capture,home,2,cta-organism,display-grid,1,yes
