site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,background-image,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,background-color,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,backdrop-filter,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,box-shadow,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,border,1,no
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,border-radius,3,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,max-width,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,padding,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,margin,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,transform,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,position-absolute,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,display-flex,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,0,relative min-h-screen overflow-hidden,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,background-image,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,background-color,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,backdrop-filter,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,border,2,no
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,border-radius,7,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,max-width,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,padding,8,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,margin,8,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,transform,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,1,grain-oak relative overflow-hidden px-6 py-28,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,background-image,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,background-color,3,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,backdrop-filter,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,border,3,no
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,border-radius,6,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,max-width,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,padding,6,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,margin,8,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,gap,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,transform,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,2,woven-layer relative overflow-hidden py-28,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,background-image,3,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,background-color,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,backdrop-filter,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,box-shadow,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,border,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,border-radius,3,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,padding,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,margin,6,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,gap,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,transform,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,position-absolute,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,display-flex,6,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-living,home,3,relative overflow-hidden bg-[#241c18] px-6 py-28 text-white,display-grid,1,yes
