site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,background-image,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,background-color,18,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,backdrop-filter,3,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,box-shadow,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,border,7,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,border-radius,13,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,padding,11,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,margin,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,gap,3,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,transform,19,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,position-absolute,14,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,display-flex,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,0,hero,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,border,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,max-width,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,padding,6,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,margin,14,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,gap,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,transform,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,1,section,display-grid,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,background-image,10,no
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,background-color,8,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,box-shadow,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,border,9,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,max-width,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,padding,11,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,margin,11,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,gap,7,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,transform,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,display-flex,10,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,2,text-stack,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,background-image,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,background-color,7,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,backdrop-filter,1,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,box-shadow,6,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,border,10,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,border-radius,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,padding,12,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,margin,10,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,gap,5,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,transform,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,display-flex,4,yes
https://openhero.art/api/preview?category=enterprice&slug=the-art-of-the-burger,home,3,finish,display-grid,1,yes
