site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,background-image,2,no
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,background-color,1,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,border,3,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,border-radius,2,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,padding,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,margin,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,transform,35,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,position-absolute,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,0,hero,display-flex,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,background-color,5,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,border,5,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,border-radius,5,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,max-width,1,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,padding,7,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,margin,10,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,gap,3,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,transform,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,1,manifesto,display-grid,2,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,background-color,8,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,backdrop-filter,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,border,8,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,border-radius,8,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,max-width,2,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,padding,6,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,margin,20,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,transform,25,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,display-flex,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,2,pillars,display-grid,1,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,3,projects,background-image,8,no
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,3,projects,background-color,4,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,3,projects,border,6,yes
https://openhero.art/api/preview?category=nature&slug=the-line-living-architecture,home,3,projects,border-radius,6,yes
