site,page,s_index,s_class,property,src_uses,carried
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,background-color,4,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,border,2,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,max-width,2,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,padding,3,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,margin,2,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,position-absolute,3,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,display-flex,2,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,0,relative h-screen w-screen overflow-hidden bg-stark-white,display-grid,1,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,py-40 bg-stark-white overflow-hidden,background-color,5,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,py-40 bg-stark-white overflow-hidden,max-width,3,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,py-40 bg-stark-white overflow-hidden,padding,3,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,py-40 bg-stark-white overflow-hidden,margin,3,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,py-40 bg-stark-white overflow-hidden,gap,1,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,py-40 bg-stark-white overflow-hidden,position-absolute,3,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,1,py-40 bg-stark-white overflow-hidden,display-flex,1,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,background-image,3,no
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,background-color,4,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,border,5,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,padding,4,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,margin,1,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,position-absolute,6,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,display-flex,4,yes
https://openhero.art/api/preview?category=enterprice&slug=urban-visionary-aesthetics,home,2,min-h-screen bg-stark-white border-y border-denim-black grid grid-cols-1 md:grid-cols-4 @container,display-grid,2,yes
